,VirusGroup,ViralFamily,VirusStatus,ScientificName,Order,NumberOfAccessions
0,Bombali Virus (BOMV),Filoviridae,new,['Mops condylurus' 'Chaerephon pumilus'],['CHIROPTERA'],2
1,PREDICT_AaV-1,Adenoviridae,new,['Macaca mulatta'],['PRIMATES'],1
2,PREDICT_AaV-10,Adenoviridae,new,['Macaca mulatta'],['PRIMATES'],1
3,PREDICT_AaV-11,Adenoviridae,new,['Macaca mulatta'],['PRIMATES'],1
4,PREDICT_AaV-2,Adenoviridae,new,['Macaca mulatta'],['PRIMATES'],1
5,PREDICT_AaV-3,Adenoviridae,new,['Macaca mulatta'],['PRIMATES'],1
6,PREDICT_AaV-4,Adenoviridae,new,['Macaca mulatta'],['PRIMATES'],1
7,PREDICT_AaV-5,Adenoviridae,new,['Macaca mulatta'],['PRIMATES'],1
8,PREDICT_AaV-6,Adenoviridae,new,['Macaca mulatta'],['PRIMATES'],1
9,PREDICT_AaV-7,Adenoviridae,new,['Macaca mulatta'],['PRIMATES'],1
10,PREDICT_AaV-8,Adenoviridae,new,['Macaca mulatta'],['PRIMATES'],1
11,PREDICT_AaV-9,Adenoviridae,new,['Macaca mulatta'],['PRIMATES'],1
12,PREDICT_AdV-1,Adenoviridae,new,['Pteropus giganteus'],['CHIROPTERA'],1
13,PREDICT_AdV-10,Adenoviridae,new,['Pteropus giganteus'],['CHIROPTERA'],1
14,PREDICT_AdV-11,Adenoviridae,new,['Pteropus giganteus'],['CHIROPTERA'],1
15,PREDICT_AdV-12,Adenoviridae,new,['Pteropus giganteus'],['CHIROPTERA'],1
16,PREDICT_AdV-13,Adenoviridae,new,"['Sturnira lilium' 'Sturnirinae' 'Rhynchonycteris naso'
 'Carollia perspicillata' 'Artibeus obscurus' 'Chiroptera' 'Sturnira sp.']",['CHIROPTERA'],7
17,PREDICT_AdV-14,Adenoviridae,new,['Glossophaga soricina'],['CHIROPTERA'],1
18,PREDICT_AdV-15,Adenoviridae,new,['Sturnira lilium'],['CHIROPTERA'],1
19,PREDICT_AdV-16,Adenoviridae,new,['Anoura caudifer' 'Glossophaga soricina' 'Carollia perspicillata'],['CHIROPTERA'],3
20,PREDICT_AdV-17,Adenoviridae,new,['Lophuromys sikapusi' 'Thryonomys swinderianus'],['RODENTIA'],2
21,PREDICT_AdV-18,Adenoviridae,new,['Soricidae'],['EULIPOTYPHLA'],1
22,PREDICT_AdV-19,Adenoviridae,new,['Praomys sp.'],['RODENTIA'],1
23,PREDICT_AdV-2,Adenoviridae,new,['Gorilla beringei beringei'],['PRIMATES'],1
24,PREDICT_AdV-20,Adenoviridae,new,['Mus musculus'],['RODENTIA'],1
25,PREDICT_AdV-21,Adenoviridae,new,['Praomys sp.'],['RODENTIA'],1
26,PREDICT_AdV-22,Adenoviridae,new,['Dasymys rufulus' 'Mus sp.'],['RODENTIA'],2
27,PREDICT_AdV-23,Adenoviridae,new,['Gerbilliscus kempi'],['RODENTIA'],1
28,PREDICT_AdV-24,Adenoviridae,new,['Uranomys ruddi' 'Lophuromys nudicaudus'],['RODENTIA'],2
29,PREDICT_AdV-25,Adenoviridae,new,['Praomys sp.'],['RODENTIA'],1
30,PREDICT_AdV-26,Adenoviridae,new,['Rattus rattus'],['RODENTIA'],1
31,PREDICT_AdV-27,Adenoviridae,new,['Macroglossus sobrinus'],['CHIROPTERA'],1
32,PREDICT_AdV-28,Adenoviridae,new,['Epomops franqueti'],['CHIROPTERA'],1
33,PREDICT_AdV-29,Adenoviridae,new,['Megaloglossus woermanni' 'Epomops franqueti'],['CHIROPTERA'],2
34,PREDICT_AdV-3,Adenoviridae,new,['Pteropus giganteus'],['CHIROPTERA'],1
35,PREDICT_AdV-30,Adenoviridae,new,['Rousettus aegyptiacus'],['CHIROPTERA'],1
36,PREDICT_AdV-31,Adenoviridae,new,['Rattus rattus'],['RODENTIA'],1
37,PREDICT_AdV-32,Adenoviridae,new,['Mastomys natalensis'],['RODENTIA'],1
38,PREDICT_AdV-33,Adenoviridae,new,['Hypsugo musciculus'],['CHIROPTERA'],1
39,PREDICT_AdV-34,Adenoviridae,new,['Neoromicia tenuipinnis'],['CHIROPTERA'],1
40,PREDICT_AdV-35,Adenoviridae,new,['Rhinolophus alcyone' 'Rhinolophus landeri' 'Hipposideros cyclops'],['CHIROPTERA'],3
41,PREDICT_AdV-36,Adenoviridae,new,['Hipposideros caffer'],['CHIROPTERA'],1
