,Virus,ScientificName,accession,most_specific_diagnostic_Test,Order,Family,Genus,Species,common_names,viral_family
0,Alkhumra hemorrhagic fever virus,Homo sapiens,21,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Flaviviridae
1,Allpahuayo mammarenavirus,Oecomys bicolor,3,PCR,RODENTIA,CRICETIDAE,Oecomys,bicolor,Bicolored Arboreal Rice Rat,Arenaviridae
2,Amur virus,Apodemus peninsulae,21,PCR,RODENTIA,MURIDAE,Apodemus,peninsulae,Korean Field Mouse,Hantaviridae
3,Amur virus,Homo sapiens,1,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Hantaviridae
4,Amur virus,Micromys minutus,1,PCR,RODENTIA,MURIDAE,Micromys,minutus,"Eurasian Harvest Mouse, Harvest Mouse",Hantaviridae
5,Andes orthohantavirus,Abrothrix longipilis,2,PCR,RODENTIA,CRICETIDAE,Abrothrix,longipilis,"Long-haired Akodont, Long-haired Grass Mouse",Hantaviridae
6,Andes orthohantavirus,Abrothrix longipilis,2,PCR,RODENTIA,CRICETIDAE,Abrothrix,longipilis,"Long-haired Akodont, Long-haired Grass Mouse",Hantaviridae
7,Andes orthohantavirus,Abrothrix longipilis,2,PCR,RODENTIA,CRICETIDAE,Abrothrix,longipilis,"Long-haired Akodont, Long-haired Grass Mouse",Hantaviridae
8,Andes orthohantavirus,Homo sapiens,37,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Hantaviridae
9,Andes orthohantavirus,Homo sapiens,37,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Hantaviridae
10,Andes orthohantavirus,Homo sapiens,37,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Hantaviridae
11,Andes orthohantavirus,Loxodontomys micropus,1,PCR,RODENTIA,CRICETIDAE,Loxodontomys,micropus,"Southern Pericote, Southern Big-eared Mouse",Hantaviridae
12,Andes orthohantavirus,Loxodontomys micropus,1,PCR,RODENTIA,CRICETIDAE,Loxodontomys,micropus,"Southern Pericote, Southern Big-eared Mouse",Hantaviridae
13,Andes orthohantavirus,Loxodontomys micropus,1,PCR,RODENTIA,CRICETIDAE,Loxodontomys,micropus,"Southern Pericote, Southern Big-eared Mouse",Hantaviridae
14,Andes orthohantavirus,Oligoryzomys chacoensis,1,PCR,RODENTIA,CRICETIDAE,Oligoryzomys,chacoensis,Chacoan Pygmy Rice Rat,Hantaviridae
15,Andes orthohantavirus,Oligoryzomys chacoensis,1,PCR,RODENTIA,CRICETIDAE,Oligoryzomys,chacoensis,Chacoan Pygmy Rice Rat,Hantaviridae
16,Andes orthohantavirus,Oligoryzomys chacoensis,1,PCR,RODENTIA,CRICETIDAE,Oligoryzomys,chacoensis,Chacoan Pygmy Rice Rat,Hantaviridae
17,Andes orthohantavirus,Oligoryzomys longicaudatus,69,PCR,RODENTIA,CRICETIDAE,Oligoryzomys,longicaudatus,Long-tailed Pygmy Rice Rat,Hantaviridae
18,Andes orthohantavirus,Oligoryzomys longicaudatus,69,PCR,RODENTIA,CRICETIDAE,Oligoryzomys,longicaudatus,Long-tailed Pygmy Rice Rat,Hantaviridae
19,Andes orthohantavirus,Oligoryzomys longicaudatus,69,PCR,RODENTIA,CRICETIDAE,Oligoryzomys,longicaudatus,Long-tailed Pygmy Rice Rat,Hantaviridae
20,Andes orthohantavirus,Rattus norvegicus,1,PCR,RODENTIA,MURIDAE,Rattus,norvegicus,Brown Rat,Hantaviridae
21,Andes orthohantavirus,Rattus norvegicus,1,PCR,RODENTIA,MURIDAE,Rattus,norvegicus,Brown Rat,Hantaviridae
22,Andes orthohantavirus,Rattus norvegicus,1,PCR,RODENTIA,MURIDAE,Rattus,norvegicus,Brown Rat,Hantaviridae
23,Andes orthohantavirus,Rattus rattus,1,PCR,RODENTIA,MURIDAE,Rattus,rattus,"House Rat, Ship Rat, Roof Rat, Black Rat",Hantaviridae
24,Andes orthohantavirus,Rattus rattus,1,PCR,RODENTIA,MURIDAE,Rattus,rattus,"House Rat, Ship Rat, Roof Rat, Black Rat",Hantaviridae
25,Andes orthohantavirus,Rattus rattus,1,PCR,RODENTIA,MURIDAE,Rattus,rattus,"House Rat, Ship Rat, Roof Rat, Black Rat",Hantaviridae
26,Aravan lyssavirus,Myotis blythii,1,PCR,CHIROPTERA,VESPERTILIONIDAE,Myotis,blythii,"Lesser Mouse-eared Myotis, Lesser Mouse-eared Bat",Rhabdoviridae
27,Australian bat lyssavirus,Equus caballus,2,PCR,PERISSODACTYLA,EQUIDAE,Equus,caballus,,Rhabdoviridae
28,Australian bat lyssavirus,Homo sapiens,2,PCR,PRIMATES,HOMINIDAE,Homo,sapiens,Human,Rhabdoviridae
29,Australian bat lyssavirus,Pteropus alecto,29,PCR,CHIROPTERA,PTEROPODIDAE,Pteropus,alecto,"Black Flying Fox, Central Flying-fox",Rhabdoviridae
30,Australian bat lyssavirus,Pteropus poliocephalus,9,PCR,CHIROPTERA,PTEROPODIDAE,Pteropus,poliocephalus,"Grey-headed Flying Fox, Gray-headed Flying Fox, Grey-headed Flying-fox",Rhabdoviridae
31,Australian bat lyssavirus,Pteropus scapulatus,13,PCR,CHIROPTERA,PTEROPODIDAE,Pteropus,scapulatus,Little Red Flying Fox,Rhabdoviridae
