,DetectionQuality,ScientificName,Source,Virus,Virus_Confirmed,Wild,accession,common_names,domestic,host_family,host_genus,most_specific_diagnostic_Test,host_order,reference_ID,host_species,virus_name_corrections,virus_name,viral_class,genome_composition,viral_genus,viral_kingdom,last_change,MSL_of_last_change,viral_order,viral_phylum,proposal_for_last_change ,PubMed_Search,PubMed_Search_ln,viral_realm,Sort,viral_species,viral_subclass,viral_subfamily,viral_subgenus,viral_subkingdom,viral_suborder,viral_subphylum,viral_subrealm,taxon_history_URL,type_species,family,genus,hits,hits_ln,number_of_hosts,order,species,tax_id,tax_id_n,virus_name_old,VF,viral_family,group,Order
0,,Accipiter cooperii,EpiCenter,West Nile virus,1,,0,nan,nan,Accipitridae,Accipiter,PRNT,Accipitriformes,113-ES-10,cooperii,West Nile virus,West Nile virus,,ssRNA(+),Flavivirus,,"Merged,",18.0,,,ICTV 7th Report.pdf,5564.0,8.623892989834397,,2994.0,West Nile virus,,,,,,,,ICTVonline=20183119,0.0,Flaviviridae,Flavivirus,21421.0,9.972127074935976,1126.0,,West Nile virus,11082.0,11082.0,West Nile virus,Flaviviridae,Flaviviridae,9.0,ACCIPITRIFORMES
1,,Accipiter cooperii,EpiCenter,West Nile virus,1,,0,nan,nan,Accipitridae,Accipiter,PRNT,Accipitriformes,113-ES-10,cooperii,West Nile virus,West Nile virus,,ssRNA(+),Flavivirus,,"Merged,",18.0,,,ICTV 7th Report.pdf,5564.0,8.623892989834397,,2994.0,West Nile virus,,,,,,,,ICTVonline=20183119,0.0,Flaviviridae,Flavivirus,21421.0,9.972127074935976,1126.0,,West Nile virus,11082.0,11082.0,West Nile virus,Flaviviridae,Flaviviridae,5.0,ACCIPITRIFORMES
2,,Accipiter cooperii,EpiCenter,West Nile virus,1,,AF206520,nan,nan,Accipitridae,Accipiter,nucleotide,Accipitriformes,GENBANK,cooperii,West Nile virus,West Nile virus,,ssRNA(+),Flavivirus,,"Merged,",18.0,,,ICTV 7th Report.pdf,5564.0,8.623892989834397,,2994.0,West Nile virus,,,,,,,,ICTVonline=20183119,0.0,Flaviviridae,Flavivirus,21421.0,9.972127074935976,1126.0,,West Nile virus,11082.0,11082.0,West Nile virus,Flaviviridae,Flaviviridae,9.0,ACCIPITRIFORMES
3,,Accipiter cooperii,EpiCenter,West Nile virus,1,,AF206520,nan,nan,Accipitridae,Accipiter,nucleotide,Accipitriformes,GENBANK,cooperii,West Nile virus,West Nile virus,,ssRNA(+),Flavivirus,,"Merged,",18.0,,,ICTV 7th Report.pdf,5564.0,8.623892989834397,,2994.0,West Nile virus,,,,,,,,ICTVonline=20183119,0.0,Flaviviridae,Flavivirus,21421.0,9.972127074935976,1126.0,,West Nile virus,11082.0,11082.0,West Nile virus,Flaviviridae,Flaviviridae,5.0,ACCIPITRIFORMES
4,,Accipiter cooperii,EpiCenter,West Nile virus,1,,HM756660,nan,nan,Accipitridae,Accipiter,nucleotide,Accipitriformes,GENBANK,cooperii,West Nile virus,West Nile virus,,ssRNA(+),Flavivirus,,"Merged,",18.0,,,ICTV 7th Report.pdf,5564.0,8.623892989834397,,2994.0,West Nile virus,,,,,,,,ICTVonline=20183119,0.0,Flaviviridae,Flavivirus,21421.0,9.972127074935976,1126.0,,West Nile virus,11082.0,11082.0,West Nile virus,Flaviviridae,Flaviviridae,9.0,ACCIPITRIFORMES
5,,Accipiter cooperii,EpiCenter,West Nile virus,1,,HM756660,nan,nan,Accipitridae,Accipiter,nucleotide,Accipitriformes,GENBANK,cooperii,West Nile virus,West Nile virus,,ssRNA(+),Flavivirus,,"Merged,",18.0,,,ICTV 7th Report.pdf,5564.0,8.623892989834397,,2994.0,West Nile virus,,,,,,,,ICTVonline=20183119,0.0,Flaviviridae,Flavivirus,21421.0,9.972127074935976,1126.0,,West Nile virus,11082.0,11082.0,West Nile virus,Flaviviridae,Flaviviridae,5.0,ACCIPITRIFORMES
6,,Accipiter gentilis,EpiCenter,West Nile virus,1,,GU566739,nan,nan,Accipitridae,Accipiter,nucleotide,Accipitriformes,GENBANK,gentilis,West Nile virus,West Nile virus,,ssRNA(+),Flavivirus,,"Merged,",18.0,,,ICTV 7th Report.pdf,5564.0,8.623892989834397,,2994.0,West Nile virus,,,,,,,,ICTVonline=20183119,0.0,Flaviviridae,Flavivirus,21421.0,9.972127074935976,1126.0,,West Nile virus,11082.0,11082.0,West Nile virus,Flaviviridae,Flaviviridae,9.0,ACCIPITRIFORMES
7,,Accipiter gentilis,EpiCenter,West Nile virus,1,,GU566739,nan,nan,Accipitridae,Accipiter,nucleotide,Accipitriformes,GENBANK,gentilis,West Nile virus,West Nile virus,,ssRNA(+),Flavivirus,,"Merged,",18.0,,,ICTV 7th Report.pdf,5564.0,8.623892989834397,,2994.0,West Nile virus,,,,,,,,ICTVonline=20183119,0.0,Flaviviridae,Flavivirus,21421.0,9.972127074935976,1126.0,,West Nile virus,11082.0,11082.0,West Nile virus,Flaviviridae,Flaviviridae,5.0,ACCIPITRIFORMES
8,,Accipiter gentilis,EpiCenter,West Nile virus,1,,HM015884,nan,nan,Accipitridae,Accipiter,nucleotide,Accipitriformes,GENBANK,gentilis,West Nile virus,West Nile virus,,ssRNA(+),Flavivirus,,"Merged,",18.0,,,ICTV 7th Report.pdf,5564.0,8.623892989834397,,2994.0,West Nile virus,,,,,,,,ICTVonline=20183119,0.0,Flaviviridae,Flavivirus,21421.0,9.972127074935976,1126.0,,West Nile virus,11082.0,11082.0,West Nile virus,Flaviviridae,Flaviviridae,9.0,ACCIPITRIFORMES
9,,Accipiter gentilis,EpiCenter,West Nile virus,1,,HM015884,nan,nan,Accipitridae,Accipiter,nucleotide,Accipitriformes,GENBANK,gentilis,West Nile virus,West Nile virus,,ssRNA(+),Flavivirus,,"Merged,",18.0,,,ICTV 7th Report.pdf,5564.0,8.623892989834397,,2994.0,West Nile virus,,,,,,,,ICTVonline=20183119,0.0,Flaviviridae,Flavivirus,21421.0,9.972127074935976,1126.0,,West Nile virus,11082.0,11082.0,West Nile virus,Flaviviridae,Flaviviridae,5.0,ACCIPITRIFORMES
