,Class,Family,Genome Composition,Genus,Kingdom,Last Change,MSL of Last Change,Order,Phylum,Proposal for Last Change ,PubMed_Search,PubMed_Search_ln,Realm,Sort,Species,Subclass,Subfamily,Subgenus,Subkingdom,Suborder,Subphylum,Subrealm,Taxon History URL,Type Species?,family,genus,hits,hits_ln,number_of hosts,number_of hosts_x,number_of hosts_y,order,species,tax_id,tax_id_n,virus_name
0,Monjiviricetes,Rhabdoviridae,ssRNA(-),Ephemerovirus,,"Moved,",33.0,Mononegavirales,Negarnaviricota,2017.006M.A.v2.Negarnaviricota.zip,8,2.079566533867987,,176.0,Adelaide River ephemerovirus,,,,,,Haploviricotina,,ICTVonline=20181682,0.0,Rhabdoviridae,Ephemerovirus,10,2.3026850879943788,1,0.0,0.0,Mononegavirales,Adelaide River ephemerovirus,31612,31612,Adelaide River virus
1,,Parvoviridae,ssDNA(+/-),Dependoparvovirus,,"New,",28.0,,,2013.001a-aaaV.A.v4.Parvoviridae.pdf,246,5.505335600964751,,3976.0,Adeno-associated dependoparvovirus A,,Parvovirinae,,,,,,ICTVonline=20184258,1.0,Parvoviridae,Dependoparvovirus,546,6.302620807245059,1,0.0,0.0,,Adeno-associated dependoparvovirus A,10804,10804,Adeno-associated virus-2
2,,Parvoviridae,ssDNA(+/-),Dependoparvovirus,,"New,",28.0,,,2013.001a-aaaV.A.v4.Parvoviridae.pdf,12,2.4849899796493045,,3977.0,Adeno-associated dependoparvovirus B,,Parvovirinae,,,,,,ICTVonline=20184259,0.0,Parvoviridae,Dependoparvovirus,43,3.7612233712371035,1,0.0,0.0,,Adeno-associated dependoparvovirus B,82300,82300,Adeno-associated virus-5
3,,,,,,,,,,,2,0.6936470556015963,,,,,,,,,,,,,Polyomaviridae,,25,3.218915824068222,1,,,,African green monkey polyomavirus,12480,12480,African green monkey polyomavirus
4,,Asfarviridae,dsDNA,Asfivirus,,"Moved,",17.0,,,Ratification_1998.pdf,948,6.8543555571067865,,2619.0,African swine fever virus,,,,,,,,ICTVonline=20182618,1.0,Asfarviridae,Asfivirus,3837,8.252446350867194,3,,,,African swine fever virus,10497,10497,African swine fever virus
5,,Picornaviridae,ssRNA(+),Kobuvirus,,"Renamed,",27.0,Picornavirales,,"2012.014aV.A.v1.Kobuvirus-Sp,Ren.pdf",129,4.859820156269611,,2049.0,Aichivirus A,,,,,,,,ICTVonline=20182015,1.0,Picornaviridae,Kobuvirus,1145,7.043160789350404,1,,,Picornavirales,Aichivirus A,1313215,1313215,Aichi virus
6,,Herpesviridae,dsDNA,Macavirus,,"Renamed,",30.0,Herpesvirales,,2015.010aD.A.v2.Herpesvirales_spren.pdf,111,4.709539210280762,,1629.0,Alcelaphine gammaherpesvirus 1,,Gammaherpesvirinae,,,,,,ICTVonline=20181492,1.0,Herpesviridae,Macavirus,80,4.3820391345957574,4,,,Herpesvirales,Alcelaphine gammaherpesvirus 1,35252,35252,Alcelaphine herpesvirus 1
7,,Herpesviridae,dsDNA,Macavirus,,"Renamed,",30.0,Herpesvirales,,2015.010aD.A.v2.Herpesvirales_spren.pdf,5,1.6096378924367667,,1630.0,Alcelaphine gammaherpesvirus 2,,Gammaherpesvirinae,,,,,,ICTVonline=20181493,0.0,Herpesviridae,Macavirus,7,1.9460529959950605,1,,,Herpesvirales,Alcelaphine gammaherpesvirus 2,138184,138184,Alcelaphine herpesvirus 2
8,,Parvoviridae,ssDNA(+/-),Amdoparvovirus,,"New,",28.0,,,2013.001a-aaaV.A.v4.Parvoviridae.pdf,72,4.276680007808494,,3948.0,Carnivore amdoparvovirus 1,,Parvovirinae,,,,,,ICTVonline=20184237,1.0,Parvoviridae,Amdoparvovirus,1156,7.052721914283851,3,,,,Carnivore amdoparvovirus 1,28314,28314,Aleutian mink disease virus
9,,Flaviviridae,ssRNA(+),Flavivirus,,"Moved,",9.0,,,Ratification_1984.pdf,12,2.4849899796493045,,2969.0,Kyasanur Forest disease virus,,,,,,,,ICTVonline=20183094,0.0,Flaviviridae,Flavivirus,70,4.2485095276616045,0,,,,Kyasanur Forest disease virus,172148,172148,Alkhumra hemorrhagic fever virus
