,Virus,number,Species,Family
3,Simian foamy virus,74,,Retroviridae
9,Torque teno virus,14,,Anelloviridae
10,Encephalomyocarditis virus,13,,Picornaviridae
13,Rift Valley fever virus,9,,Phenuiviridae
32,Buffalopox virus,4,,Poxviridae
33,Junin mammarenavirus,4,,Arenaviridae
44,Amur virus,3,,Hantaviridae
45,Batai virus,3,,Peribunyaviridae
47,Seal parapoxvirus,3,,Poxviridae
51,Toscana virus,3,,Phenuiviridae 
52,Caraparu virus,2,,Peribunyaviridae
55,Bermejo virus,2,,Hantaviridae
56,Oropouche virus,2,,Peribunyaviridae
60,Ljungan virus,2,,Picornaviridae
61,Isla Vista hantavirus,2,,Hantaviridae
62,Rio Mamore hantavirus,2,,Hantaviridae
66,New York hantavirus,2,,Hantaviridae
69,Oran virus,2,,Hantaviridae
70,Kunjin virus,2,,Flaviviridae
71,Choclo virus,2,,Hantaviridae
73,Swine vesicular disease virus,1,,Picornaviridae
77,La Crosse virus,1,,Peribunyaviridae
78,Pinhal virus,1,,Arenaviridae
79,Sandfly fever Sicilian virus,1,,Phenuiviridae
80,Thottapalayam orthohantavirus,1,,Hantaviridae
81,San Miguel sea lion virus,1,,Caliciviridae
83,Punta Toro virus,1,,Phenuiviridae
86,Calabazo virus,1,,Hantaviridae
87,Rotavirus,1,,Reoviridae
88,Issyk-Kul virus,1,,Nairoviridae
89,Chandipura virus,1,,Rhabdoviridae
90,Tioman virus,1,,Paramyxoviridae
92,Naples virus,1,,Phenuiviridae
95,Chapare mammarenavirus,1,,Arenaviridae
96,Muju virus,1,,Hantaviridae
97,Ngari virus,1,,Peribunyaviridae
99,Big brushy tank virus,1,,Arenaviridae
101,Bhanja virus,1,,Phenuiviridae
102,Cache Valley virus,1,,Peribunyaviridae
103,Shimoni bat lyssavirus,1,,Rhabdoviridae
104,Lujo mammarenavirus,1,,Arenaviridae
106,Bunyamwera virus,1,,Peribunyaviridae
108,Tonto creek virus,1,,Arenaviridae
109,Guama virus,1,,Peribunyaviridae
110,Tahyna virus,1,,Peribunyaviridae
111,Morogoro mammarenavirus,1,,Arenaviridae
114,Catarina virus,1,,Arenaviridae
115,Guaroa virus,1,,Peribunyaviridae
117,Alkhumra hemorrhagic fever virus,1,,Flaviviridae
120,Chandiru virus,1,,Phenuiviridae
121,European bat lyssavirus,1,,Rhabdoviridae
